name,country,region,sub_region,latitude,longitude,elevation_m,coast_distance_km,avg_temp_summer_c,avg_temp_winter_c,annual_rainfall_mm,sunny_days_per_year,hiking_trails_count,unesco_sites_within_100km,museum_count,national_parks_within_100km,theme_parks_count,cost_of_living_index,avg_3star_hotel_usd,annual_visitors_millions,visitors_per_capita,label
Isle of Skye,United Kingdom,Europe,Scotland,53.451,-2.997,241.0,2.8,17.0,5.8,1059.0,134.0,12.0,1,5.0,0,1,93.5,158.0,10.123,93.54,Adventure
Loch Ness,United Kingdom,Europe,Scotland,51.296,-4.703,781.0,150.7,10.3,-1.5,1308.0,154.0,38.0,0,44.0,0,0,81.4,156.0,2.462,2.13,Adventure
Inverness,United Kingdom,Europe,Scotland,54.074,-1.264,0,31.1,16.8,5.6,1203.0,150.0,37.0,1,17.0,1,0,80.0,154.0,0.301,0.79,Adventure
St Andrews,United Kingdom,Europe,Scotland,54.81,-2.066,158.0,98.6,17.5,3.4,1521.0,152.0,39.0,2,21.0,1,0,72.8,143.0,1.153,0.44,Culture
Oban,United Kingdom,Europe,Scotland,54.2,-4.14,175.0,232.9,15.2,3.3,1074.0,145.0,20.0,1,28.0,0,0,74.4,174.0,0.39,0.53,Adventure
Manchester,United Kingdom,Europe,England,53.41,-2.215,152.0,214.1,16.6,5.4,809.0,141.0,41.0,0,27.0,1,0,76.3,171.0,0.542,0.26,Culture
Liverpool,United Kingdom,Europe,England,55.173,-2.42,91.0,99.1,14.3,3.4,887.0,132.0,40.0,1,9.0,2,0,84.7,176.0,2.425,5.82,Culture
Birmingham,United Kingdom,Europe,England,55.433,-4.175,78.0,151.4,18.2,4.4,1305.0,136.0,36.0,0,20.0,0,0,81.1,155.0,3.241,3.45,Culture
York,United Kingdom,Europe,England,53.964,1.754,26.0,35.4,16.9,5.8,1027.0,148.0,10.0,2,26.0,2,0,86.8,179.0,2.176,3.82,Culture
Bath,United Kingdom,Europe,England,53.194,0.74,206.0,200.7,18.3,1.4,1212.0,134.0,23.0,1,13.0,0,0,64.7,132.0,1.729,1.94,Culture
Cambridge,United Kingdom,Europe,England,54.76,-2.12,0,226.3,20.2,5.4,1047.0,149.0,15.0,0,22.0,0,0,79.7,192.0,1.99,2.57,Culture
Oxford,United Kingdom,Europe,England,55.546,-1.105,265.0,190.4,16.4,0.3,1203.0,128.0,35.0,1,28.0,0,0,75.9,158.0,0.568,1.38,Culture
Brighton,United Kingdom,Europe,England,53.291,-0.204,144.0,65.8,16.2,5.3,742.0,155.0,27.0,1,16.0,1,0,82.5,171.0,2.816,1.44,Relaxation
Cornwall - St Ives,United Kingdom,Europe,England,56.723,-2.432,197.0,57.5,13.9,2.0,1278.0,127.0,27.0,1,16.0,0,1,86.4,167.0,2.647,3.08,Relaxation
Cornwall - Penzance,United Kingdom,Europe,England,54.684,-5.72,0,183.9,17.8,3.8,1406.0,127.0,23.0,1,23.0,2,0,79.9,164.0,1.069,0.58,Relaxation
Lake District,United Kingdom,Europe,England,51.539,-3.304,265.0,100.4,15.6,5.4,1079.0,146.0,26.0,1,27.0,0,0,69.6,169.0,2.808,2.19,Adventure
Cotswolds,United Kingdom,Europe,England,53.651,-1.005,213.0,88.0,16.8,4.9,989.0,139.0,17.0,2,25.0,0,0,77.1,135.0,1.392,1.34,Luxury
Stonehenge area,United Kingdom,Europe,England,55.058,0.566,58.0,128.3,17.3,4.5,782.0,117.0,22.0,8,39.0,0,0,79.4,163.0,4.58,2.42,Culture
Cardiff,United Kingdom,Europe,Wales,53.2,1.756,0,154.2,18.4,5.5,1074.0,150.0,22.0,2,17.0,0,1,72.2,154.0,2.901,1.19,Culture
Snowdonia,United Kingdom,Europe,Wales,54.831,-2.093,2007.0,137.7,5.9,-7.4,1271.0,118.0,106.0,1,4.0,2,0,71.6,124.0,1.699,1.27,Adventure
Belfast,United Kingdom,Europe,Northern Ireland,55.162,-2.192,121.0,142.8,16.9,0.6,1359.0,128.0,28.0,0,21.0,0,0,85.9,184.0,0.447,1.01,Culture
Giant's Causeway,United Kingdom,Europe,Northern Ireland,53.973,0.092,92.0,139.7,16.1,4.2,1059.0,134.0,42.0,1,22.0,0,1,84.7,186.0,2.237,1.3,Adventure
Dublin,Ireland,Europe,Leinster,52.213,-7.069,187.0,169.6,16.2,4.5,1091.0,143.0,23.0,0,54.0,0,0,90.5,191.0,1.556,1.52,Culture
Galway,Ireland,Europe,Connacht,52.502,-9.157,71.0,172.2,14.0,3.5,1015.0,127.0,29.0,0,3.0,0,0,77.7,163.0,0.916,10.45,Culture
Cork,Ireland,Europe,Munster,50.213,-8.997,145.0,146.1,15.6,2.8,956.0,131.0,31.0,0,7.0,2,0,74.0,141.0,0.302,4.62,Culture
Killarney,Ireland,Europe,Munster,52.316,-6.329,115.0,126.8,14.9,4.8,1259.0,132.0,30.0,0,0,0,1,90.0,168.0,0.713,3.71,Adventure
Dingle,Ireland,Europe,Munster,51.931,-8.373,249.0,105.7,13.1,4.0,923.0,137.0,35.0,0,0,1,0,90.9,177.0,0.337,3.44,Adventure
Cliffs of Moher,Ireland,Europe,Munster,54.291,-11.031,42.0,176.0,15.2,6.1,1070.0,132.0,19.0,0,0,0,0,81.5,141.0,0.152,0.86,Adventure
Aran Islands,Ireland,Europe,Connacht,53.848,-11.26,100.0,2.2,15.9,9.5,1394.0,121.0,10.0,0,1.0,0,0,87.7,166.0,1.866,305.54,Adventure
Connemara,Ireland,Europe,Connacht,50.193,-5.825,82.0,127.9,13.7,4.5,1102.0,121.0,23.0,0,12.0,2,0,76.2,159.0,0.823,7.97,Adventure
Kilkenny,Ireland,Europe,Leinster,51.449,-6.277,184.0,170.3,14.8,4.7,1097.0,130.0,38.0,0,12.0,1,1,76.5,142.0,0.59,3.41,Culture
Wicklow Mountains,Ireland,Europe,Leinster,55.358,-9.683,1640.0,309.3,6.1,-6.7,1265.0,121.0,101.0,0,1.0,2,0,80.1,164.0,0.618,3.66,Adventure
Donegal,Ireland,Europe,Ulster,52.928,-10.05,119.0,47.8,15.0,4.9,989.0,133.0,21.0,0,6.0,2,0,85.6,150.0,0.533,2.75,Adventure
Ring of Kerry,Ireland,Europe,Munster,55.448,-7.911,40.0,154.6,14.3,7.1,942.0,143.0,19.0,0,8.0,2,0,71.9,151.0,0.497,3.4,Adventure
Amsterdam,Netherlands,Europe,North Holland,52.517,7.514,83.0,205.1,18.3,3.8,1009.0,172.0,4.0,3,31.0,0,0,84.7,161.0,4.699,2.18,Culture
Rotterdam,Netherlands,Europe,South Holland,51.496,0.23,164.0,166.5,18.3,1.3,599.0,144.0,13.0,1,7.0,2,0,78.6,171.0,0.182,1.0,Culture
The Hague,Netherlands,Europe,South Holland,52.019,4.328,120.0,85.9,16.5,2.2,1143.0,156.0,10.0,1,24.0,0,0,83.9,150.0,1.046,3.12,Culture
Utrecht,Netherlands,Europe,Utrecht,49.828,5.255,79.0,30.8,15.7,1.3,958.0,165.0,3.0,1,22.0,0,0,87.4,179.0,1.071,2.01,Culture
Delft,Netherlands,Europe,South Holland,50.991,2.815,16.0,198.5,17.4,4.1,822.0,169.0,32.0,0,14.0,1,0,77.5,139.0,1.548,16.54,Culture
Haarlem,Netherlands,Europe,North Holland,49.047,6.489,298.0,157.3,16.7,1.4,638.0,166.0,11.0,1,7.0,1,0,88.1,147.0,0.404,0.93,Culture
Maastricht,Netherlands,Europe,Limburg,51.358,6.558,208.0,96.1,15.5,0.7,1211.0,149.0,10.0,0,10.0,0,0,70.1,161.0,0.903,1.3,Culture
Giethoorn,Netherlands,Europe,Overijssel,51.957,3.896,286.0,108.8,14.7,-0.0,819.0,180.0,8.0,0,12.0,0,0,76.5,155.0,0.359,0.51,Culture
Keukenhof,Netherlands,Europe,South Holland,52.77,3.058,82.0,164.8,16.9,3.0,1076.0,164.0,12.0,1,19.0,1,0,82.3,170.0,0.746,2.49,Culture
Leiden,Netherlands,Europe,South Holland,52.927,5.849,148.0,152.2,15.6,2.2,967.0,146.0,27.0,0,21.0,2,0,83.9,179.0,0.298,0.48,Culture
Brussels,Belgium,Europe,Brussels,49.389,6.343,90.0,159.5,19.2,1.7,1193.0,143.0,14.0,2,49.0,1,1,83.8,140.0,2.577,0.96,Culture
Bruges,Belgium,Europe,West Flanders,51.955,2.358,132.0,221.2,17.1,2.4,885.0,149.0,17.0,0,12.0,1,0,82.5,150.0,0.188,0.64,Culture
Ghent,Belgium,Europe,East Flanders,50.487,5.487,71.0,32.5,16.2,2.6,385.0,142.0,17.0,0,5.0,0,0,68.8,127.0,0.549,5.87,Culture
Antwerp,Belgium,Europe,Antwerp Province,48.146,1.571,84.0,161.8,18.7,1.8,1040.0,149.0,17.0,0,7.0,0,0,76.8,133.0,0.277,0.87,Culture
Leuven,Belgium,Europe,Flemish Brabant,49.659,6.493,0,132.0,18.7,4.7,989.0,169.0,25.0,1,12.0,0,0,78.5,155.0,0.464,1.67,Culture
Dinant,Belgium,Europe,Namur,50.625,3.127,181.0,225.6,17.0,-0.3,795.0,168.0,29.0,1,0,0,0,67.7,121.0,0.58,1.52,Culture
Ardennes,Belgium,Europe,Wallonia,51.22,1.913,168.0,122.6,18.1,3.5,1187.0,142.0,0,1,0.0,0,0,66.6,119.0,0.586,2.3,Culture
Zurich,Switzerland,Europe,Zurich,47.183,6.285,264.0,29.2,15.1,-3.1,1026.0,189.0,117.0,0,7.0,2,0,106.0,212.0,0.918,4.42,Luxury
Geneva,Switzerland,Europe,Geneva,44.468,11.258,46.0,219.6,17.6,-3.0,1119.0,157.0,113.0,0,9.0,1,0,101.7,183.0,0.25,2.12,Luxury
Bern,Switzerland,Europe,Bern,47.698,5.241,29.0,68.5,18.0,0.3,1418.0,174.0,8.0,2,54.0,0,1,128.1,261.0,3.877,2.68,Culture
Lucerne,Switzerland,Europe,Lucerne,48.897,7.653,213.0,208.9,15.3,-1.4,1055.0,158.0,113.0,0,9.0,0,0,127.9,253.0,0.397,1.46,Culture
Interlaken,Switzerland,Europe,Bernese Oberland,45.893,10.036,554.0,153.5,14.0,-4.1,1216.0,196.0,19.0,0,7.0,0,0,111.0,223.0,0.122,0.48,Adventure
Zermatt,Switzerland,Europe,Valais,46.308,10.233,1502.0,380.1,7.4,-16.5,1275.0,124.0,104.0,1,0,3,0,159.3,267.0,0.575,2.17,Luxury
St. Moritz,Switzerland,Europe,Graubünden,47.457,8.818,2120.0,154.4,4.8,-20.7,1743.0,136.0,95.0,1,6.0,3,0,150.2,321.0,0.205,1.15,Luxury
Davos,Switzerland,Europe,Graubünden,45.351,6.862,2197.0,260.7,3.2,-23.8,985.0,138.0,90.0,1,2.0,3,0,143.9,284.0,0.766,2.77,Luxury
Verbier,Switzerland,Europe,Valais,48.149,5.881,2472.0,222.9,1.7,-22.9,1602.0,156.0,63.0,1,5.0,4,0,139.6,268.0,0.63,8.65,Luxury
Gstaad,Switzerland,Europe,Bern,45.282,8.042,2292.0,311.8,4.3,-19.5,1422.0,139.0,63.0,1,6.0,2,0,157.5,315.0,0.933,6.9,Luxury
Lausanne,Switzerland,Europe,Vaud,48.784,8.767,62.0,59.0,17.5,-0.3,1133.0,178.0,120.0,1,9.0,1,0,94.6,225.0,0.842,3.86,Culture
Montreux,Switzerland,Europe,Vaud,46.513,5.669,56.0,207.6,17.1,-0.8,1603.0,157.0,123.0,0,12.0,2,0,109.8,235.0,0.747,2.33,Luxury
Lugano,Switzerland,Europe,Ticino,47.558,5.787,49.0,149.5,14.8,-1.0,769.0,185.0,117.0,0,6.0,0,0,105.4,215.0,0.561,1.89,Luxury
Jungfrau,Switzerland,Europe,Bernese Oberland,45.607,9.176,1550.0,304.3,7.8,-9.8,835.0,156.0,63.0,0,5.0,2,0,120.9,293.0,0.406,3.76,Adventure
Grindelwald,Switzerland,Europe,Bernese Oberland,43.795,7.829,0,67.6,18.3,0.1,1015.0,165.0,138.0,1,18.0,1,0,116.7,236.0,0.354,1.0,Adventure
Vienna,Austria,Europe,Vienna,47.732,17.716,23.0,132.9,22.5,-1.5,878.0,190.0,7.0,3,36.0,1,1,71.0,167.0,5.59,3.49,Culture
Salzburg,Austria,Europe,Salzburg,45.864,14.396,130.0,175.0,18.8,-1.4,692.0,202.0,108.0,0,13.0,2,0,61.6,132.0,1.182,6.32,Culture
Innsbruck,Austria,Europe,Tyrol,46.07,9.482,23.0,177.8,20.6,-3.4,969.0,163.0,109.0,1,3.0,0,0,59.7,122.0,1.794,12.42,Adventure
Hallstatt,Austria,Europe,Upper Austria,46.184,12.985,125.0,217.5,19.7,-1.6,958.0,189.0,104.0,0,23.0,1,0,61.9,127.0,0.949,3.66,Adventure
Graz,Austria,Europe,Styria,48.783,12.433,55.0,169.5,16.4,-2.4,869.0,192.0,88.0,0,6.0,0,0,65.9,127.0,1.23,5.04,Culture
Kitzbühel,Austria,Europe,Tyrol,49.867,10.999,1593.0,131.8,8.6,-16.2,1456.0,151.0,99.0,1,3.0,2,0,107.8,188.0,2.244,26.59,Luxury
St. Anton,Austria,Europe,Tyrol,47.61,16.016,2467.0,319.9,4.3,-20.6,1700.0,169.0,72.0,1,3.0,3,0,91.5,187.0,0.751,6.11,Luxury
Wachau Valley,Austria,Europe,Lower Austria,44.919,13.902,230.0,50.2,18.7,-2.8,734.0,156.0,100.0,1,15.0,2,1,80.1,163.0,0.963,3.43,Culture
Zell am See,Austria,Europe,Salzburg,47.01,16.033,60.0,167.2,17.0,-2.1,784.0,181.0,112.0,0,11.0,0,0,64.0,102.0,0.287,0.86,Adventure
Bad Gastein,Austria,Europe,Salzburg,48.903,16.652,90.0,22.1,18.5,-1.1,902.0,182.0,98.0,0,13.0,1,0,71.4,131.0,1.692,8.14,Relaxation
Prague,Czech Republic,Europe,Prague,50.399,16.351,15.0,179.6,18.7,1.1,559.0,168.0,9.0,2,47.0,0,1,50.9,103.0,1.785,0.73,Culture
Český Krumlov,Czech Republic,Europe,South Bohemia,49.866,20.806,150.0,84.9,18.9,-0.8,701.0,170.0,37.0,0,8.0,1,1,48.1,78.0,0.213,0.66,Culture
Karlovy Vary,Czech Republic,Europe,Karlovy Vary Region,46.728,17.531,159.0,64.2,19.2,-4.4,678.0,164.0,31.0,1,1.0,1,0,56.8,110.0,0.368,1.97,Culture
Brno,Czech Republic,Europe,South Moravia,51.037,20.054,75.0,56.5,18.2,-3.9,593.0,168.0,22.0,0,8.0,0,1,46.8,84.0,0.333,3.62,Culture
Kutná Hora,Czech Republic,Europe,Central Bohemia,50.61,15.565,110.0,29.7,18.6,-3.4,557.0,163.0,35.0,0,10.0,2,0,54.8,94.0,0.53,6.05,Culture
Telč,Czech Republic,Europe,Vysočina,50.484,13.76,125.0,148.4,17.5,-2.9,798.0,156.0,40.0,1,9.0,1,1,45.6,87.0,0.265,1.54,Culture
Olomouc,Czech Republic,Europe,Olomouc Region,48.88,15.323,56.0,211.2,19.9,-2.3,712.0,173.0,28.0,0,13.0,0,0,47.5,71.0,0.552,3.4,Culture
Budapest,Hungary,Europe,Central Hungary,46.025,24.319,201.0,208.4,21.4,0.8,606.0,181.0,7.0,1,60.0,0,1,58.0,96.0,2.803,2.18,Culture
Eger,Hungary,Europe,Northern Hungary,47.341,22.309,143.0,109.4,19.4,-0.8,571.0,187.0,21.0,0,20.0,0,0,49.0,78.0,0.872,2.41,Culture
Pécs,Hungary,Europe,Southern Transdanubia,45.912,21.055,0,33.4,20.9,-1.2,580.0,161.0,24.0,0,10.0,0,0,43.6,83.0,0.361,1.16,Culture
Lake Balaton,Hungary,Europe,Western Transdanubia,49.102,18.686,583.0,194.5,18.5,-5.9,641.0,197.0,29.0,0,2.0,0,0,44.6,89.0,0.64,1.6,Culture
Szentendre,Hungary,Europe,Central Hungary,47.868,17.793,20.0,94.4,20.2,-0.0,735.0,176.0,27.0,0,2.0,1,0,38.0,64.0,0.322,0.89,Culture
Debrecen,Hungary,Europe,Northern Great Plain,51.323,19.738,135.0,197.5,22.1,1.7,530.0,206.0,12.0,0,4.0,1,0,37.0,62.0,0.503,1.51,Culture
Krakow,Poland,Europe,Lesser Poland,53.27,20.603,233.0,186.4,16.5,-3.3,536.0,169.0,7.0,1,23.0,1,0,43.9,69.0,1.934,3.05,Culture
Warsaw,Poland,Europe,Masovia,53.166,18.037,157.0,197.2,17.7,-3.1,390.0,176.0,5.0,3,91.0,0,1,51.3,79.0,4.833,0.63,Culture
Gdańsk,Poland,Europe,Pomerania,55.992,19.412,122.0,40.7,16.6,-5.2,679.0,167.0,28.0,0,14.0,1,0,38.8,70.0,0.366,0.39,Culture
Wrocław,Poland,Europe,Lower Silesia,49.826,19.721,157.0,189.2,19.5,-3.0,642.0,162.0,12.0,1,25.0,1,0,39.9,59.0,1.666,4.01,Culture
Zakopane,Poland,Europe,Lesser Poland,50.367,22.508,2544.0,279.4,-0.1,-22.3,864.0,152.0,102.0,0,6.0,4,0,71.4,100.0,1.247,3.69,Adventure
Auschwitz-Birkenau,Poland,Europe,Lesser Poland,51.774,19.092,125.0,68.1,17.4,-3.1,517.0,159.0,5.0,0,16.0,0,0,45.0,78.0,1.387,2.52,Culture
Wieliczka,Poland,Europe,Lesser Poland,52.37,14.797,162.0,35.3,17.0,-4.9,687.0,154.0,27.0,1,19.0,1,0,41.6,67.0,0.832,1.9,Culture
Poznań,Poland,Europe,Greater Poland,54.761,17.286,120.0,233.1,19.1,-2.6,504.0,158.0,16.0,0,17.0,1,0,46.1,65.0,0.582,0.83,Culture
Toruń,Poland,Europe,Kuyavia-Pomerania,52.53,25.594,120.0,237.2,19.0,-3.1,541.0,171.0,32.0,1,24.0,2,1,41.3,78.0,0.929,1.18,Culture
Białowieża Forest,Poland,Europe,Podlaskie,52.579,21.467,2255.0,298.9,5.6,-21.4,919.0,127.0,30.0,1,0,2,0,62.9,101.0,1.056,0.92,Adventure
Dubrovnik,Croatia,Europe,Dalmatia,46.154,19.003,132.0,93.3,23.4,6.9,876.0,210.0,46.0,0,0,0,0,42.5,102.0,1.385,24.15,Culture
Split,Croatia,Europe,Dalmatia,44.008,14.907,134.0,102.6,24.9,2.5,770.0,196.0,30.0,0,0,1,0,50.7,100.0,1.872,12.52,Culture
Zagreb,Croatia,Europe,Central Croatia,46.013,15.063,94.0,67.0,22.7,5.0,1332.0,197.0,11.0,2,62.0,1,0,58.7,121.0,4.505,7.08,Culture
Hvar,Croatia,Europe,Dalmatia,46.813,14.528,8.0,181.9,23.6,4.6,970.0,185.0,35.0,1,6.0,0,0,56.1,109.0,0.579,7.65,Relaxation
Korčula,Croatia,Europe,Dalmatia,44.055,19.032,39.0,161.0,24.1,5.5,1019.0,241.0,45.0,0,5.0,2,1,53.5,123.0,0.96,21.32,Relaxation
Brač,Croatia,Europe,Dalmatia,43.002,13.802,146.0,77.5,24.3,1.9,602.0,228.0,15.0,0,13.0,1,0,57.6,113.0,0.488,11.52,Relaxation
Plitvice Lakes,Croatia,Europe,Lika,44.573,15.314,303.0,187.3,23.7,-0.1,1000.0,228.0,36.0,0,3.0,1,0,52.8,87.0,0.291,3.25,Adventure
Zadar,Croatia,Europe,Dalmatia,45.057,11.87,121.0,159.8,22.4,3.3,849.0,204.0,17.0,0,10.0,2,0,54.9,109.0,0.707,17.52,Relaxation
Pula,Croatia,Europe,Istria,45.463,18.073,141.0,158.8,22.8,3.6,1372.0,255.0,34.0,0,12.0,2,0,58.1,109.0,1.232,18.9,Relaxation
Rovinj,Croatia,Europe,Istria,45.312,18.464,31.0,194.4,24.0,3.3,864.0,222.0,36.0,0,0.0,0,0,57.8,123.0,0.52,4.47,Relaxation
Krka National Park,Croatia,Europe,Šibenik-Knin,41.792,20.859,25.0,86.1,23.0,3.0,400.0,211.0,49.0,1,4.0,3,0,54.3,93.0,0.479,13.12,Adventure
Mljet,Croatia,Europe,Dalmatia,46.235,12.016,151.0,189.6,23.5,5.0,905.0,223.0,19.0,0,18.0,0,0,50.4,105.0,0.243,3.64,Relaxation
Ljubljana,Slovenia,Europe,Central Slovenia,45.209,12.939,183.0,240.8,19.2,-3.0,1445.0,160.0,2.0,1,36.0,0,0,52.9,124.0,2.209,4.62,Adventure
Lake Bled,Slovenia,Europe,Upper Carniola,44.983,17.278,539.0,297.0,17.0,-4.8,1186.0,178.0,29.0,0,7.0,0,0,46.3,105.0,0.402,8.04,Adventure
Lake Bohinj,Slovenia,Europe,Upper Carniola,44.449,16.72,719.0,320.5,15.0,-6.9,1419.0,193.0,24.0,0,6.0,1,0,55.9,113.0,0.265,13.27,Adventure
Triglav National Park,Slovenia,Europe,Upper Carniola,42.733,12.659,130.0,63.7,20.9,-3.0,831.0,186.0,80.0,0,6.0,3,0,48.4,89.0,0.058,0.78,Adventure
Piran,Slovenia,Europe,Slovenian Istria,44.224,13.965,21.0,40.0,19.5,-1.0,886.0,187.0,70.0,0,15.0,0,0,49.5,107.0,0.111,3.82,Adventure
Postojna Cave,Slovenia,Europe,Inner Carniola,46.271,17.781,131.0,138.2,19.5,-0.5,1150.0,198.0,73.0,0,0,0,0,60.3,122.0,0.116,3.14,Adventure
Maribor,Slovenia,Europe,Lower Styria,46.587,16.71,161.0,182.1,20.3,-3.4,1114.0,175.0,69.0,0,11.0,2,0,62.4,111.0,0.46,22.98,Adventure
Soča Valley,Slovenia,Europe,Goriška,47.489,13.935,227.0,196.3,15.7,-1.8,1484.0,215.0,75.0,0,13.0,1,0,60.4,123.0,0.207,9.43,Adventure
Oslo,Norway,Europe,Eastern Norway,64.715,11.806,12.0,49.3,15.7,-1.4,1465.0,158.0,3.0,1,6.0,1,1,106.8,215.0,1.563,1.41,Culture
Bergen,Norway,Europe,Western Norway,64.259,8.554,44.0,120.1,14.1,-5.1,1432.0,190.0,65.0,0,15.0,1,0,99.6,212.0,0.193,1.49,Culture
Tromsø,Norway,Europe,Northern Norway,64.934,10.438,21.0,208.6,13.1,-1.2,1564.0,174.0,53.0,0,14.0,0,0,97.8,214.0,0.123,0.69,Adventure
Lofoten Islands,Norway,Europe,Nordland,63.416,10.406,255.0,2.0,15.9,-2.7,1416.0,140.0,28.0,0,6.0,2,0,95.3,212.0,0.874,10.54,Adventure
Geirangerfjord,Norway,Europe,Western Norway,64.35,8.981,243.0,219.1,12.6,-2.3,1226.0,177.0,40.0,0,4.0,4,0,77.9,169.0,0.157,0.88,Adventure
Nærøyfjord,Norway,Europe,Western Norway,65.699,11.715,129.0,169.1,14.7,-1.4,1026.0,139.0,62.0,1,4.0,3,1,111.6,202.0,0.323,3.5,Adventure
Trondheim,Norway,Europe,Trøndelag,64.945,11.819,203.0,21.7,10.7,-4.3,1353.0,160.0,57.0,0,2.0,0,0,109.4,225.0,0.352,1.79,Culture
Stavanger,Norway,Europe,Western Norway,63.727,14.956,106.0,126.9,15.5,-2.2,1642.0,178.0,44.0,0,0,2,0,97.3,193.0,0.286,2.67,Culture
Pulpit Rock area,Norway,Europe,Western Norway,62.84,11.288,37.0,240.9,14.1,-4.4,1956.0,177.0,45.0,0,0,0,0,92.4,194.0,0.065,0.6,Adventure
Trolltunga area,Norway,Europe,Western Norway,66.869,12.059,143.0,200.3,13.0,-1.9,1369.0,180.0,44.0,0,0,0,0,98.6,216.0,0.285,9.24,Adventure
North Cape,Norway,Europe,Northern Norway,65.444,16.706,99.0,1.8,15.5,-2.6,1545.0,156.0,4.0,0,10.0,0,0,109.1,256.0,0.452,4.77,Adventure
Svalbard,Norway,Europe,Svalbard,63.756,10.45,246.0,193.1,11.3,-4.9,1321.0,155.0,57.0,0,19.0,1,0,79.0,182.0,0.251,1.45,Adventure
Ålesund,Norway,Europe,Western Norway,65.561,9.266,46.0,82.7,13.4,-0.6,1389.0,188.0,30.0,0,9.0,2,0,90.4,155.0,0.063,1.7,Adventure
Flåm,Norway,Europe,Western Norway,64.702,9.429,172.0,177.7,11.7,-2.2,1399.0,174.0,42.0,0,4.0,0,1,101.3,200.0,0.358,1.96,Adventure
Hardangerfjord,Norway,Europe,Western Norway,63.879,6.716,36.0,226.1,13.5,-4.3,822.0,177.0,26.0,0,0,3,0,103.5,197.0,0.089,0.96,Adventure
Stockholm,Sweden,Europe,Stockholm,60.814,16.545,118.0,206.9,16.4,-3.3,672.0,179.0,2.0,2,58.0,1,0,88.5,177.0,1.309,0.63,Culture
Gothenburg,Sweden,Europe,Västra Götaland,62.399,15.066,105.0,134.5,16.3,-3.7,704.0,183.0,28.0,0,13.0,0,0,74.2,159.0,0.621,2.6,Culture
Malmö,Sweden,Europe,Skåne,59.829,19.965,124.0,208.1,14.6,-3.6,693.0,175.0,18.0,1,0.0,0,0,72.6,175.0,0.196,0.8,Culture
Uppsala,Sweden,Europe,Uppsala,60.761,17.88,96.0,88.7,15.9,-3.2,553.0,165.0,31.0,0,2.0,0,0,70.3,142.0,0.31,1.31,Culture
Visby (Gotland),Sweden,Europe,Gotland,62.721,16.103,45.0,249.0,17.1,-3.2,608.0,176.0,36.0,1,17.0,1,1,70.3,151.0,0.496,2.24,Culture
Abisko,Sweden,Europe,Norrbotten,62.577,19.33,141.0,1.9,17.0,1.2,827.0,182.0,30.0,0,2.0,2,0,79.8,152.0,0.427,2.62,Adventure
Kiruna,Sweden,Europe,Norrbotten,62.048,11.732,185.0,245.9,15.3,-5.4,740.0,177.0,35.0,1,19.0,0,0,68.1,137.0,0.286,1.41,Adventure
Lund,Sweden,Europe,Skåne,63.177,15.515,110.0,43.0,17.2,-5.4,603.0,177.0,21.0,0,8.0,0,0,70.6,161.0,0.16,1.6,Culture
Sigtuna,Sweden,Europe,Stockholm,60.354,14.713,207.0,75.0,16.5,-2.3,459.0,167.0,19.0,1,5.0,1,0,59.8,124.0,0.258,0.81,Culture
Copenhagen,Denmark,Europe,Capital Region,55.873,8.636,106.0,197.2,15.8,-0.7,833.0,181.0,3.0,2,0,0,0,109.5,201.0,2.481,1.87,Culture
Aarhus,Denmark,Europe,Central Denmark,57.563,10.031,96.0,190.3,17.0,-0.0,784.0,146.0,31.0,0,18.0,2,0,80.8,129.0,0.315,3.95,Culture
Odense,Denmark,Europe,Southern Denmark,56.719,8.861,148.0,225.0,17.5,0.9,886.0,165.0,18.0,0,17.0,1,0,78.7,143.0,0.723,17.0,Culture
Skagen,Denmark,Europe,North Jutland,56.747,12.556,238.0,125.5,16.0,0.7,889.0,149.0,19.0,0,0,0,0,85.0,176.0,0.183,1.41,Culture
Roskilde,Denmark,Europe,Zealand,55.593,9.667,2057.0,359.2,3.7,-17.3,1252.0,140.0,136.0,1,7.0,3,1,97.8,175.0,0.158,1.11,Culture
Bornholm,Denmark,Europe,Capital Region,53.34,10.465,158.0,75.3,14.8,-0.2,742.0,156.0,0,0,3.0,0,0,94.5,176.0,0.712,4.67,Culture
Helsinki,Finland,Europe,Uusimaa,65.656,25.67,200.0,62.5,17.1,-6.8,490.0,170.0,8.0,1,13.0,0,0,88.3,147.0,1.53,1.16,Culture
Rovaniemi,Finland,Europe,Lapland,64.145,25.201,216.0,32.6,14.3,-6.3,545.0,175.0,24.0,0,1.0,0,0,73.4,120.0,0.069,0.68,Family
Turku,Finland,Europe,Southwest Finland,61.896,25.287,109.0,220.4,14.3,-8.4,427.0,171.0,18.0,0,0,0,0,68.6,112.0,0.076,0.42,Culture
Tampere,Finland,Europe,Pirkanmaa,63.194,23.779,91.0,204.0,18.0,-5.0,534.0,175.0,26.0,0,3.0,0,0,82.4,155.0,0.259,1.93,Culture
Lake Saimaa,Finland,Europe,South Karelia,65.286,24.285,576.0,173.8,14.7,-11.1,667.0,179.0,15.0,0,10.0,0,0,81.4,130.0,0.193,0.99,Adventure
Levi,Finland,Europe,Lapland,65.692,23.05,130.0,141.9,14.9,-8.3,389.0,158.0,21.0,0,20.0,1,1,82.0,144.0,0.264,1.47,Adventure
